id,area,feature,user_story,expected_behaviour,status,phase2_result,phase3_fix,phase4_retest
A-04,authoring,--vuln flag parsing,"As a user, I record a vuln with `--vuln id:severity:summary` (summary may contain colons).","Splits on the first two colons only; invalid severity lists valid ones and exits 1; repeatable flag accumulates.",NOT-TESTED,,,
A-05,authoring,Custom facts path via env,"As a user with STARLOG_PRIVATE_FACTS set, facts add writes there and tells me the caveat.","Writes to the env path and prints the note that init wires only the default path (custom path read by CLI only).",NOT-TESTED,,,
A-06,authoring,No clobber on malformed file,"As a user with a broken private-facts.json, facts add must not silently overwrite it.","SyntaxError surfaces as `invalid JSON — ... Fix or remove the malformed file, then retry.`; exit 1; original file untouched.",NOT-TESTED,,,
A-07,authoring,corpus add makes discoverable,"As an org developer, `starlog corpus add @acme/flags --solves ...` makes search surface it.","Writes .starlog/private-corpus.json with a schema-valid manifest (honest zero-value health defaults); prints guidance + the tip to also `facts add`; exit 0.",NOT-TESTED,,,
A-08,authoring,corpus add requires --solves,"As a user, omitting --solves must fail with the reason it matters.","Commander requiredOption error (exit 1); nothing written.",NOT-TESTED,,,
A-09,authoring,corpus add validates enums,"As a user, a bad `--effort` or `--ecosystem` fails with valid options.","Clear 'Invalid --effort/--ecosystem ... use one of: ...' error; exit 1.",NOT-TESTED,,,
A-10,authoring,facts policy sets verdict,"As an org admin, `starlog facts policy lodash deny --reason ...` records a rule.","Writes/upserts .starlog/policy.json rule `pkg-<name>` with the rationale; prints how to make the agent apply it (export STARLOG_POLICY) or confirms it's already read; exit 0.",NOT-TESTED,,,
A-11,authoring,Invalid verdict rejected,"As a user, `starlog facts policy pkg maybe` should fail.","stderr `Invalid verdict ""maybe"" — use one of: allow, deny, flag`; exit 1.",NOT-TESTED,,,
A-12,authoring,Policy upsert is stable,"As an admin, re-setting a verdict replaces the old rule, never duplicates.","Rule id `pkg-<name>` is stable; org field and unrelated rules preserved.",NOT-TESTED,,,
A-13,authoring,Friendly permission errors,"As a user writing to an unwritable path, I get an actionable message, not a stack trace.","EACCES/EPERM → `permission denied (<path>). Try a path you own or re-run with appropriate permissions.`; exit 1.",NOT-TESTED,,,
O-01,org sync,Bulk derive from checkouts,"As an org admin, `starlog org sync <dir>` derives facts for every published package in one pass.","Scans immediate subdirectories with package.json or pyproject.toml; writes private-facts.json (L2, source 'analyzer'), private-corpus.json (discovery), policy.suggested.json; summary lines report counts; exit 0.",NOT-TESTED,,,
O-02,org sync,Unpublished repos skipped honestly,"As an admin, repos with no published name are reported, never fabricated.","Skipped count includes them; no synthetic keys are written.",NOT-TESTED,,,
O-03,org sync,No-description packages reported,"As an admin, packages without a description are vettable but not discoverable and I'm told how to fix.","Summary lists them: 'have no description, so they are vettable but NOT discoverable ... Add a description'.",NOT-TESTED,,,
O-04,org sync,Policy suggestions are proposals,"As an admin, derived flags (copyleft-strong, unknown license, deprecated/abandoned) go to a separate suggestion file the agent never reads.","policy.suggested.json regenerated fresh each run; output says PROPOSALS and points at `starlog facts policy <pkg> flag` to adopt.",NOT-TESTED,,,
O-05,org sync,Duplicate package collision warning,"As an admin with the same package in two checkouts, I'm warned which one won.","`Warning: ""<pkg>"" was derived from N checkouts (...); kept the last.` printed; last one wins.",NOT-TESTED,,,
O-06,org sync,Merges over existing facts,"As an admin, re-running sync must preserve hand-authored facts for other packages.","Existing l2 entries for packages not in this sync are preserved; same-package entries are refreshed.",NOT-TESTED,,,
O-07,org sync,Empty directory fails clearly,"As an admin pointing at the wrong dir, I get a clear error.","`org sync: no checkouts found under <dir> (looked for immediate subdirectories containing a package.json or pyproject.toml).`; exit 1.",NOT-TESTED,,,
O-08,org sync,--no-git skips recency,"As an admin without git history, maintenance falls back to active.","With --no-git, lastCommitDaysAgo is null and maintenance defaults to 'active'.",NOT-TESTED,,,
O-09,org sync,Git recency drives maintenance,"As an admin, a repo untouched for 6/18 months is graded honestly.","last commit >=180 days → maintenance-only; >=540 days → abandoned; archived/deprecated → deprecated.",NOT-TESTED,,,
I-01,init,Preview-then-confirm,"As a user, `starlog init` must show me every change and ask before writing.","Prints planned changes ([+ create]/[~ update]/[= ok]/[- skip] with paths), then asks 'Apply these changes? [y/N]'; in a non-interactive shell it stops with 're-run with --yes' and writes nothing.",NOT-TESTED,,,
I-02,init,--dry-run,"As a cautious user, I preview without writing.","Plan prints then 'Dry run — no changes written.'; no files touched.",NOT-TESTED,,,
I-03,init,--yes applies,"As a CI user, `starlog init --yes` wires everything unattended.","~/.claude/settings.json gains mcpServers.starlog (node dist/mcp.js with per-project STARLOG_PRIVATE_* env) and a PostToolUse Bash hook entry; hook script written to ~/.claude/hooks/starlog-pkg-check.js; post-install summary printed.",NOT-TESTED,,,
I-04,init,Idempotent re-run,"As a user, running init twice must not duplicate or rewrite anything.","Second run shows all [= ok] and 'Everything is already configured. No changes needed.'",NOT-TESTED,,,
I-05,init,--project CLAUDE.md section,"As a user, `starlog init --project --yes` drops a marked Starlog section in CLAUDE.md.","Section delimited by <!-- starlog:init --> / <!-- starlog:end --> appended; drifted bounded sections are refreshed in place; user content preserved.",NOT-TESTED,,,
I-06,init,Agent detection + --all,"As a user without Cursor/Copilot/Codex, init skips them with a reason; --all forces.","Undetected agents show `[- skip] <agent> — <reason> (use --all to force)`; with --all their instruction files are planned/written.",NOT-TESTED,,,
I-07,init,--api-key wiring,"As an org user, `starlog init --api-key K --yes` wires the key into the MCP env.","settings.json mcpServers.starlog.env.STARLOG_API_KEY === K; summary says 'Ranking mode: hosted'; exported STARLOG_API_KEY works too.",NOT-TESTED,,,
I-08,init,Clean uninstall,"As a user, `starlog init --uninstall` removes everything Starlog added and backs up edited files.","MCP entry + hook (file & registration) removed; marked sections removed from CLAUDE.md/copilot-instructions/AGENTS.md with .bak backups reported; Cursor rule deleted; unrelated settings preserved.",NOT-TESTED,,,
I-09,init,Corrupt settings.json fails loudly,"As a user with broken settings.json, init must not clobber it.","init fails with `Failed to parse ~/.claude/settings.json: ...`; exit 1; file untouched.",NOT-TESTED,,,
I-10,init,Ephemeral npx warning,"As a user running from the npx cache, I'm warned the wired paths will break.","When package root is under _npx, the summary warns and suggests `npm install -g starloghq && starlog init`.",NOT-TESTED,,,
I-11,init,Postinstall nudge,"As a user who just `npm i starloghq`, I learn install alone wires nothing.","postinstall prints one bold line pointing at `npx starlog init`; silent in CI / non-TTY / silent loglevel; never fails the install.",NOT-TESTED,,,
I-12,init,Unwired nudge on CLI use,"As a Claude Code user who never ran init, CLI search/facts nudges me once per run.","When settings.json exists without starlog, a stderr tip suggests `starlog init`; suppressed for JSON output, STARLOG_NO_NUDGE, and when settings.json is absent/invalid.",NOT-TESTED,,,
D-01,doctor,Corpus check,"As a user, `starlog doctor` verifies the bundled corpus loads.","`[ok] Corpus — 25 manifests loaded` (bundled corpus-free tier).",NOT-TESTED,,,
D-02,doctor,Unconfigured setup warns,"As a fresh user, doctor tells me what's missing without failing.","MCP + hook + overlays + project agents show [!] warnings pointing at `starlog init`; exit 0 with 'All critical checks passed (N warnings)'.",NOT-TESTED,,,
D-03,doctor,MCP handshake,"As a configured user, doctor actually spawns the MCP server and lists tools.","`[ok] Claude Code MCP — <command>` and `[ok] MCP handshake — starlog_search available`; a broken server yields [x] with 'try npm run build or reinstall'.",NOT-TESTED,,,
D-04,doctor,Corrupt settings detected,"As a user with invalid settings.json, doctor flags it precisely.","`[x] settings.json — invalid JSON (...) — fix or remove ...` and exit 1.",NOT-TESTED,,,
D-05,doctor,Hook state diagnosis,"As a user, doctor distinguishes every hook failure mode.","registered+missing file → [x] 'script file is missing'; file present+unregistered → [!] 'not registered'; syntax error → [x]; healthy → [ok].",NOT-TESTED,,,
D-06,doctor,Private overlay reporting,"As an org user, doctor shows the wiring and what this project authored.","Reports overlay env wiring ([ok]/[!] re-run init), per-file counts (vetting N, discovery N, policy N), and warns on invalid overlay JSON.",NOT-TESTED,,,
D-07,doctor,Ranking mode line,"As a user, doctor tells me which ranking tier I'm on — both are OK.","Keyless: '[ok] Ranking — keyword ranking — offline...'; with wired key: hosted line; never a warning.",NOT-TESTED,,,
M-01,MCP server,stdio server + tools,"As an agent client, `starlog mcp` (or node dist/mcp.js) serves MCP over stdio.","initialize → tools/list returns exactly starlog_search and starlog_facts with their schemas; stdout carries only JSON-RPC.",NOT-TESTED,,,
M-02,MCP server,starlog_search tool,"As an agent, I call starlog_search to discover candidates.","Returns markdown per result (Solves/Category/Effort/Best for/Skip when/Stack/Health); no-match returns the honest guidance text; results identical to CLI search (parity).",NOT-TESTED,,,
M-03,MCP server,starlog_facts tool,"As an agent, I call starlog_facts to vet a named package.","Returns the same formatFactView text as `starlog facts`; miss returns the honest no-facts message; the tool description is the validated verbatim string.",NOT-TESTED,,,
M-04,MCP server,Input validation,"As an agent, out-of-range args are rejected by schema.","top_k outside 1-50 or wrong types produce an MCP validation error, not a crash.",NOT-TESTED,,,
M-05,MCP server,First-call disclosure,"As a human whose agent uses starlog, I see the telemetry disclosure in the first tool result.","On an unacknowledged install the first tool result appends the one-line disclosure and that call is not recorded; subsequent calls omit it.",NOT-TESTED,,,
M-06,MCP server,No double server on cli mcp,"As a user launching `starlog mcp`, the bundled run-if-main guard must not start a second server.","dist/mcp.js auto-starts only when invoked directly (symlink-safe realpath compare); `node dist/cli.js mcp` starts exactly one server.",NOT-TESTED,,,
H-01,install hook,Facts surfaced on install,"As an agent user, installing a known-bad package surfaces its incidents immediately.","Hook stdin gets the Bash tool JSON; for `npm install ua-parser-js` it emits hookSpecificOutput additionalContext with KNOWN VULNS/maintenance/license and the 'as of' date.",NOT-TESTED,,,
H-02,install hook,Unknown package queued,"As a user installing an uncovered package, it's queued for coverage.","Message '[Starlog] No facts on file for ...'; entry appended to ~/.starlog/pending.json and <project>/.starlog/pending.json, deduplicated by manifest_id.",NOT-TESTED,,,
H-03,install hook,Non-install commands ignored,"As a user running ordinary commands, the hook stays silent.","`ls`, `npm run build`, `npm test` produce no output; exit 0.",NOT-TESTED,,,
H-04,install hook,Shell-operator safety,"As a user running compound commands, shell tokens must not be treated as packages.","`npm i x && echo done` parses only `x`; flags and invalid names are dropped by the package-name grammar.",NOT-TESTED,,,
H-05,install hook,pip support,"As a Python user, `pip install requests` is detected with pypi naming rules.","Ecosystem pypi; version specifiers (==, >=) stripped; facts/queue behavior identical to npm.",NOT-TESTED,,,
H-06,install hook,Never breaks the agent,"As a user, a hook crash must never fail my tool call.","Garbage stdin/JSON → silent exit 0; missing stdin exits after a 3s timeout; queue write failures are swallowed.",NOT-TESTED,,,
T-01,telemetry,Status command,"As a user, `starlog telemetry status` shows my current state.","Prints enabled/disabled, the anonymous id, config path (~/.starlog/telemetry.json), and opt-out options; exit 0.",NOT-TESTED,,,
T-02,telemetry,Enable/disable persist,"As a user, `starlog telemetry disable` is a persistent opt-out.","State file updated (enabled:false); status then reports disabled; enable reverses it; unknown action → error exit 1.",NOT-TESTED,,,
T-03,telemetry,Env + CI opt-outs honored,"As a privacy-conscious user, DO_NOT_TRACK=1 / STARLOG_TELEMETRY=0 / CI must silence telemetry.","resolveEnabled short-circuits: flag > DO_NOT_TRACK > STARLOG_TELEMETRY > CI/VITEST guard > persisted state; nothing sent when off.",NOT-TESTED,,,
T-04,telemetry,First-run notice,"As a new user, the first tracked command shows me exactly what's collected.","TELEMETRY_NOTICE printed once to stderr; re-shown only when NOTICE_VERSION increases (disclosure broadened).",NOT-TESTED,,,
T-05,telemetry,PII scrubbing,"As a user, my emails/tokens/paths/IPs never reach analytics.","scrubText replaces emails, bearer/gh/sk/AKIA tokens, windows+unix absolute paths, IPv4s, and long base64 blobs with ‹redacted›; benign queries pass through.",NOT-TESTED,,,
T-06,telemetry,Private names redacted,"As an org user, my private package names are never sent.","MCP facts/search event props redact org-private package names to a boolean (mcp-telemetry.ts).",NOT-TESTED,,,
P-01,facts push,Key required,"As a user without a key, `starlog facts push` must refuse clearly.","`facts push needs STARLOG_API_KEY (the org key these facts belong to).`; exit 1.",NOT-TESTED,,,
P-02,facts push,Missing/invalid file errors,"As a user pointing push at a missing file, I get a clean error.","`facts push: no file at <path>` (default .starlog/facts.json); exit 1; invalid overlays are skipped with a count; invalid policy warns 'not pushed'.",NOT-TESTED,,,
P-03,facts push,Pushes L2 + policy,"As an org admin with a key, push uploads overlays and my adopted policy.","POSTs to the hosted API (policy first when present, then L2); success prints 'Pushed N L2 overlay(s) [+ org policy]'; API failure → error + exit 1; exits explicitly (no hang).",NOT-TESTED,,,
G-01,global,--version/--help,"As a user, `starlog --version` and `--help` orient me.","Version matches package.json (0.7.0); help lists all commands with the vet-first description.",NOT-TESTED,,,
G-02,global,Clean failure contract,"As a user, no starlog error ever shows an unhandled stack trace.","All async action errors route through fail(): `starlog: <context>: <hint>`; exit 1; unknown commands get commander's error.",NOT-TESTED,,,
G-03,corpus,Bundled corpus integrity,"As a user, the shipped corpus must be complete and valid.","25 discovery manifests across 7 categories all pass schema; 42 L2 fact packages; invalid/unreadable manifest files are skipped with a stderr warning, never abort the load.",NOT-TESTED,,,
G-04,build/test,Build + suite green,"As a maintainer, build, typecheck and the full vitest suite pass from a clean clone.","`npm run build` (gen:facts + esbuild), `npm run typecheck`, `npx vitest run` all succeed without API keys.",NOT-TESTED,,,
